涉及好感度,涉及行动点,其他功能,序号,道具名,数量,道具描述
否,是,无,1,蛋包饭,2,恢复3行动点
否,是,无,2,咖啡,3,恢复2行动点
是,是,无,3,可尔思必,10,增加10点玉森好感（薰使用则为恢复2行动点）
是,是,防御,4,大瓶可尔思必,1,持有此卡可抵御一次薰的杀害，直接使用时增加20点玉森好感（薰使用则为恢复3行动点）
是,是,移动,5,洗浴券,2,将棋子移动至机械汤并增加10点好感（薰使用则为恢复2行动点）
是,是,移动,6,电影票,2,将棋子移动至电影院并增加10点好感（薰使用则为恢复2行动点）
否,否,手牌,7,玉森的原稿,3,可从除川濑外的其他角色手中强制夺走一张道具手牌（明牌规则下由你指定）
否 ,否,手牌,8,钱,5,可在特定地点使用此道具（不扣行动点），也可从牌堆或其他人手中交换1张道具（扣1行动点）
否,否,移动,9,提灯,2,可指定本回合内你希望棋子移动的步数
否,否,移动,10,手电筒,1,可指定本回合内你希望棋子移动的步数，但是是往反方向走
否,是,攻击,11,军刀,1,可杀死一名剩余行动点等于小于1的角色，*花泽使用军刀不消耗行动点
否,是,攻击,12,枪,1,可杀死一名剩余行动点等于小于2的角色，*博士使用枪不消耗行动点
否,是,攻击,13,雕刻刀,1,可杀死一名剩余行动点为0的角色，*水上使用雕刻刀不消耗行动点，且水上可以选择对自己使用
否,否,防御,14,念珠,1,持有此卡可抵御一次杀害，*水上或薰使用念珠不消耗行动点
否,否,防御,15,钥匙串,1,本周目不能成为被杀害的目标，*川濑使用钥匙串不消耗行动点
是,是,无,16,银怀表,2,可指定一名角色失去1行动点，*非花泽角色使用此道具会扣10点好感
是,是,无,17,笔记本,2,可指定一名角色失去2行动点，*非水上角色使用此道具会扣10点好感
否,否,移动,18,汽车,1,可让棋子前进步数x3（需掷骰前使用），*行动阶段，博士可以先掷骰再决定是否使用（其他角色掷骰后不得使用）
否,是,移动,19,眼镜,1,从你开始，强制后续所有存活拥有点数的角色玩家消耗1行动点移动一次棋子，此次棋子的行动均计算在你的回合
否,否,移动,20,能面,1,可使棋子移动到不影响好感度的任意区域。*薰使用不消耗行动点
否,否,移动,21,金鱼花洒,1,可使棋子移动到冰川宅范围内，*博士使用不消耗行动点
否,否,移动,22,三文鱼罐头,2,可使棋子移动至花泽家，*花泽使用不消耗行动点
否,否,移动,23,摄像机,1,可使棋子移动至大泉家范围内，*水上使用不消耗行动点
否,否,移动,24,话剧剧本,1,可使棋子移动至池田宅范围内，*川濑使用不消耗行动点
否,否,移动,25,校帽,1,可使棋子移动至帝国大学范围内
是,否,无,26,七味粉,1,如场上有存活的花泽角色玩家，可使对他的好感下降10
是,否,无,27,《白发小僧》,1,如场上有存活的水上角色玩家，可使对他的好感下降10。*店主使用不消耗行动点
是,否,无,28,《幽灵塔》,1,如场上有存活的川濑角色玩家，可使对他的好感下降10。*博士使用不消耗行动点
是,否,无,29,《花物语》,1,如场上有存活的博士角色玩家，可使对他的好感下降10
是,否,无,30,《脑髓地狱》,2,可使对任意一名你指定角色的好感度下降10
否,是,大复活术,31,雨水,1,使用后原地进入新周目，参见地图水坑规则，但不算水坑次数。
是,是,大复活术,32,时光机,1,1.使用者恢复所有行动点并补满道具卡上限，可让棋子移动至任何位置，重叠对除你以外的所有角色的好感度
